author,text,date_posted,rating,review_id,bug_detected,feature_request
Jason Mueller,"I like the general gameplay, and updates are decent so far. To ""casually"" enjoy the game, you're stuck spending $10 a month to avoid ads, have unlimited auto-runs, and avoid wasted stamina. They haven't yet addressed declining players (common to all games), but if they can make that happen, the game has a chance. As it is now, my guild has like 2 people active, and inactive friends need to be pruned constantly, and this is only after a month or so of playing..",30-07-2024 20:18,3,2b273297-e84c-4b17-a451-7072b6acc766,FALSE,FALSE
Mr. Meow,"I want to rate this 4.5. It's good. Solid concept and design. I enjoy it. But the dang thing is buggy as heck. I'm swamped with error messages some days(not always). And always have issues with the ads. A lot of its features are only accessible via watching an ad, which I don't mind... But when it fails to run, you are left with nothing. If it does run, and you click on something accidentally and it opens Google play, you get nothing. It is held back by its bug riddled design centered around ads",12-07-2024 13:24,3,40cbdd03-a7e5-4ddc-b106-63434cfae851,TRUE,TRUE
Dean Swindler Jr.,"this game is mildly entertaining. I really don't like how some ""upgrades "" actually hurt your damage rating..... it is a pain to keep up with the overwhelming amount of zombies as it is. there is way too large of a variety of upgrades for each weapon as well. then there's the xp. If we are going to have such a huge variety of upgrades maybe allow us to gather more levels in a match. it takes way too long to gain levels when that is your only contribution to gameplay.",18-06-2024 05:44,2,8f339fec-62a2-4b99-a491-1fc1b8d8fb98,FALSE,TRUE
David Clarke,"Way too dependent on what random upgrades decide to show up. You get a bad run of stuff or the ""incorrect"" stuff for the enemies, you lose. No real strategy or even gameplay to speak of, but if you like watching other people play games, this might be for you, because it's literally watching the app play the game and choosing upgrades for it. The best part was uninstalling it",16-06-2024 02:36,1,1db862c6-43fb-4916-98d3-911d18db99e5,FALSE,TRUE
Vontavius Rex,"Lot of potential. But extremely grindy and poorly balanced. 1-The wheelchair mob's heal spam is ridiculous. 2-You end up repeating the same lvl constantly, until you collect enough resources for marginal power increases. 3-Also, maybe it's just me, but it feels like the game is programmed to make you lose and waste energy half the time. It'll give you useless power-ups and send bullets off in the least optimal trajectory possible. 4-chat lag makes team-ups very frustrating. The game needs work.",17-07-2024 03:42,2,3d148a4b-a17a-4879-a178-c33ba8442aac,FALSE,FALSE
Paul Hsu,"It keeps saying that the platform crashes and that I need to log in but doesn't give me an option to. I uninstall and reinstall and all my information is gone (if the game starts again). I've lost hundreds of hours, money, and I'm beginning to not want to play the game. It's a great game, aesthetics are good, and game play with others makes it fun. But with so many bugs, crashes, and loss of time and money, it's discouraging me to keep playing. That's the problem, I can't get in the game",23-05-2024 23:18,3,3635457e-ec3c-4f32-ae53-b0224a5d12d3,TRUE,FALSE
Elijah Broyld,"It sucks that I will miss out on the first 7 day reward, because I just started... but I'm already addicted to this game! UPDATE I missed the 7 day challenge final reward by 10 points (I had 640), because they don't say anywhere in the game how to reset a gear and I couldn't find it. This game needs a tutorial at least. I'm dropping my rating down to 2 stars! I'll give it 1 more week and if things don't improve, I'm just gonna uninstall it!",01-06-2024 20:00,2,c7d308e0-e285-4abc-b20d-9123313d776a,FALSE,TRUE
Brenton Martin,"it is a good game. no ads unless you want rewards, which is great. my only complaint is that the power upgrades are random, and the more you progress, the less chance you can have any type of build. if there was a way to focus your power ups or even take certain power ups away that you don't use. that would make this game 5 stars for sure.",16-06-2024 19:10,3,887c90db-67e0-4ff4-946b-2c1a493546c9,FALSE,TRUE
Hoang Nguyen,"This game will nickel and dime you if you want to make any progress. You get hard stuck on levels due to the randomness of skills that pop up, most are very weak. Most of the battle passes are tied to using stamina, which you're allotted a max of 30 unless you buy a monthly pass that ups the max. What's also frustrating is that the game will randomly disconnect. Avoid this game if you can. It's a literal waste of time and money.",10-07-2024 10:58,1,f7a4e770-75a1-499b-ac95-ec3ed4745be2,FALSE,FALSE
Matthew Pauley,there's a lot that can be done to improve this game. it's fun as is but can definitely be better. unfortunately the more skills you unlock the less likely the skills you want pop up at level up. improved gun skills should apply to your mercenaries as well. at the end of the round it would be nice to see how much damage your mercenaries did. only 1 reroll on skills per stage is also not great. I could go on but am limited by character count.,04-07-2024 20:05,3,be87e6f8-a362-43ee-86fc-06a75e34a114,FALSE,TRUE
Sean Maxey,game started off very fun and soon turned into a very frustrating experience. Anytime I have tried to make a build for certain abilities the game just starts not letting me pick those abilities making clearing stages next to impossible. it doesn't feel random at all basically whatever I try to use gets shuffled to the very end of a stage if at all.,09-07-2024 12:44,1,92399eb3-6975-449b-b35e-f46d1633876c,FALSE,FALSE
Frank Morgan,"On 2nd chance, it was fun til a point where no advancement can be made without becoming one of the overly invested types. If no more chests can be unlocked with free play, then the inevitable uninstalling will happen. I've upgraded, embedded, upgraded the upgrades, blah blah blah, and the same results. It's insanity to keep playing, so I'm done. Uninstalling, again, permanently like.",22-05-2024 03:55,3,84103554-0ee9-45ee-8a82-32d725865b57,FALSE,TRUE
Reid Brinkley,"The game is a very fast gotcha game. this took me 6 tries to get the first level done perfectly. skill evolution should be done automatically. have an idle mode allow the starting skill to be picked. adding changes would make it better. After giving it a 2nd chance , their response is awful. We gave you an item that requires 16 more levels to use . Then tell you that your gear, gems or skills need to increase. At a point where the response was throw money at the problem. Don't download @all",13-05-2024 02:39,1,4e221a85-b806-4c54-a2e9-0a16164edbbb,TRUE,FALSE
Sheldon “Shellz” Semper,"This game has to have the slowest shooting and reloading gun in history. Enemies can take anywhere from 2 to 6 shots to kill no matter what the damage says. Laser always hits the least amount of enemies possible. Not to mention i cleared a stage on almost perfect, leveled up and replayed and took way more damage. Even purchased the offered gun which looks cool but doesn't make any noticable difference play-wise. Avoid. Juice isnt worth the squeeze.",24-05-2024 21:27,2,e273354b-afaf-4dff-a499-f7c1748b3454,FALSE,FALSE
Mad Max,"Has potential, but the game itself is just slow. Slow progression, slow game play, not much to do. No explanation as of power compared to the level you're about to enter, so you have to find out but trial and error, which results in losing energy. Un-installed, I'll try back in 6 months to a year, and it will probably be better.",20-07-2024 16:26,2,2177f029-60c8-46dc-a780-11d1ba10490e,TRUE,FALSE
je bb,Game balance is terrible. Half the skills are useless. Game variety relies on randomness of which skill selections are available. If you get too many useless skills you know you're going to lose and it's just faster to restart. either allow more focused skill paths/selections or strengthen the weak skills no one plays with unless they are forced to because of bad luck. Game quickly becomes boring....,07-07-2024 17:37,2,ad7dba84-d838-47f4-b01d-23c848aae94d,FALSE,FALSE
B. Hart,"This game is a bait and switch just like every other game. There is no side-to-side game play in which you try to pick the correct number to strengthen or weaken your character. Your character stands in one place, and you periodically choose additional skills, but it's nothing like the ads. No big surprise. It's less about game play and more about spending money and world building. Do not waste your time.",23-06-2024 19:40,1,c313b924-db9a-48c4-b175-718008230dd2,FALSE,TRUE
Scott Blurton,"I love the grind,but in my opinion,you need to double or even triple the gold earnings per attempt for sure. The grind gets to be too much after a while,and the game gets to be boring.You need more descriptions of the weakness of enemies. Some levels seems like it never gives you the skills you actually need to beat the levels. Need to boost stamina to 60 or more.How about more $1 options in the store?I be willing to give this game 5 stars if these things are changed. Other than that fun game.",04-07-2024 00:44,3,f9d9de08-e4db-4ff2-aad9-ddb33d57ac4c,TRUE,FALSE
Napalm Angel,enjoyable slow build up game with lots of little things to keep busy. downside is the math they have after the elite kill and the random pick between one and 4 skills to upgrade is really the problem with the game. it could be one both elite kills and sometimes you get 2 or 4. but they need to change it to 2 of your personal choice. I noticed the math is skewed in their favor. as if you don't level your gun it always put one gun skill in and picks that one skill. I have photos to prove it.,14-06-2024 02:45,3,c2cad5aa-872e-483e-880f-8e20326e3f0f,TRUE,TRUE
SomBody *sargas*,game seems poorly balanced. can complete a level perfect all the way to failing miserably because of random skill upgrades. primary damage source is gun and I have gone up to 2/3 of the way through a level and not gotten a single gun skill. would be better if you could strategize by setting up skills in combos and progression levels. graphics are decent but overall not a lot of fun to play and seems very grinding,04-06-2024 16:58,2,ef498560-d4fd-4ff6-83cc-4101fda6e545,FALSE,TRUE
No Name,Pretty fun so far. But winning is dependent on what they give you and it's bad. I beat a level 3 times easy right away and haven't been able to beat it again since. I've gotten a lot more powerful since I beat it last. It's easy to mess up you're setup and you have to buy I've thoroughly went through everything. It's a joke,12-06-2024 07:05,2,659d41a4-328e-4336-bd1b-aa3c1e4f477b,FALSE,FALSE
Cozmo,"As much as I want to rate this higher, I can't. After Stage 7 especially, I feel like the developers are pushing more towards the P2W strats. EDIT: Game may disconnect from servers and force log you from your account. Ensure you account is still linked, or it will wipe all of your saved progress and items you've paid for and reset you back at level 1 with nothing!!",02-07-2024 04:38,1,7c7b705f-bb33-4e76-bbae-38742314576e,FALSE,FALSE
Matt Guernsey,"It is not fun to play simply because you have to grind the same level over and over just to achieve enough gear, damage to simply move to the next level. The mechanic for killing monsters to get upgrades in current level needs to be accelerated or streamlined to be relevant. Gun upgrades that do not do much at all to the point of asking why is this even an option. Accesory upgrades that are so minimal it lacks impact on the current level.",26-05-2024 15:52,1,2ed390a5-1bbb-47a2-92f2-72fad94d9c2f,FALSE,TRUE
Tyler Archambault,"There's no way to disable the CONSTANT banner pop-ups at the top of the screen telling you about other players' loot gains. Who cares?? Also, when you launch the app, the game is frozen for a good 30/45 seconds before you can click on anything. Just give a longer load screen or something. it's just dumb",20-06-2024 20:23,1,20804ee6-17c4-44a6-8083-6dad859cb50a,FALSE,FALSE
Todd Ledbetter,"This, to me, is a really fun game. The fundamentals are there. I feel like pay to win hasn't hit me yet, but maybe it will. My only big complaint is that leveling up takes waaaaay too long. Experience rates should be almost doubled, or it's just unnecessary grinding. I'm Currently level 25 and there is content locked behind levels that I can't access yet but the game has become repetitive to a grind. So either introduce the new content at a lower level or give more Experience. Thank you!",05-07-2024 20:01,4,7b29c8d9-bc72-491f-bd4b-5822855db51a,FALSE,FALSE
Furikus Hex,"Far too difficult and takes far too long to unlock a single thing. Not the fun kind of hard either, the kind of hard that makes it tedious and pointless as unlocks are very far between and the rewards you get at every level are very small and not worth while. You don't really gain good power until about 40 levels in and you're designed to constantly fail so getting to level 40 takes forever. Not a good game design.",15-06-2024 21:15,1,108e231c-1415-49c2-843e-693f4f8b6c1e,FALSE,FALSE
Matthew Nichols,"Winning in a match is 100% based on the luck of the draw. It doesn't matter what gear you have or skills you choose. If you don't just happen to draw the perfect skills primarily during the first 10 waves, you might as well quit the match and then hope for a better draw the next time.",19-06-2024 03:35,1,5ee47988-481a-40e0-85ff-65b724054fa4,FALSE,FALSE
7 “‪Rever3nd‬” 7,"Solid 4 star game. Lots of fun, satisfying victories. The only reason I'd say not a five star is some content takes a TON of grinding or paywalling to get to, like timed event completions. But, everything is accessible eventually. Solid game, performs well, interesting multiplayer setup, lots of ways to grow. Well worth the download.",30-06-2024 01:16,4,780bc696-8280-4bce-9da9-a724e14fc055,FALSE,FALSE
Stephen Rouse,"Update: The game's a cash grab that keeps you reliant on spending by rendering builds pointless. Your core abilities operate in match based on a percentage chance mechanic. They reinforce this by making unlocking core abilities mandatory, since it adds to a crit multiplier. There's no feature to toggle core abilities inactive, making it a strong-arm approach to force players to shoot themselves in the foot. Not to mention difficulty scaling is quick to heavily punish F2p'ers, to incite spending.",19-05-2024 19:26,2,36a5ccbb-53b6-4689-9b52-55f86aef87c6,FALSE,TRUE
Joseph Peck,"If you like games with a tolerable art style and some cool looking abilities, if you're lucky enough to get them as you constantly feel the RNG is rigged against you to never give you what you need when you need it, with no tech tree display to tell you what your upcoming options, as you hit your paywall extremely quickly, then this game is for you!",12-06-2024 19:54,2,876f7ed5-6215-4b4f-b4b1-14232eadab1d,FALSE,FALSE
cody michaels,Playing coop i die and my partner (ie wife) sitting next to me gets perfect clear in same game in elite modes and global rescues it has immense sync issues and makes no sense. Game also forces you to play with people 10% less power then you to recieve torch medals rather then encouraging to play with anyone for rewards. The game needs a list to show you possible upgrade synergies/combos. As well as more build diversity. It is a fun game but could be much better with optimization/features,13-06-2024 04:52,3,3d5a0c1f-b284-4b58-af6a-feb45c1528bf,TRUE,TRUE
Midnight Ruin,"Played the game for 30 minutes and can no longer access it. The offer pops up and will not go away. Response to SPGAME: I can't reply back to you, so this will have to do. I can not access ANYTHING in game. I see short code for all of the buttons, then they go back to normal. I can't do ANYTHING inside of the game. The 'x' does not work and neither does the button to purchase the pop-up offer.",21-05-2024 04:42,1,b6bdb7c3-c0fb-4d60-80ad-8b823ec97290,TRUE,FALSE
Lego Battle Droid,"The gameplay matches what's advertised, even if it is a bit exaggerated. On top of that I haven't run into any mandatory adds. Those two things by themselves earns at least 3 stars. The gameplay earned the next two stars. The only nitpick I have is that there isn't an ""infinite"" mode where you can see how long a build survives outside of the 20 level cap.",01-07-2024 09:32,5,ba07c8e3-1112-48e6-8f62-13396c1551b4,FALSE,FALSE
Mystress Bree,"Game is neat and has a lot of potential to be a fun game to kill time, however every time the app closes and I reopen it I am unable to click off any on the pop ups to be able to get to the base game so it's unplayable to me anymore. These include pop ups to try and get me to purchase items and my idle earnings.",08-06-2024 19:29,2,70947e8a-838d-4d21-83cc-8c2ddecf0d46,FALSE,FALSE
Chris Kinzel,"Better than similar games. There's just some parts of the game that are confusing with no explanation. For example, there's mentions of ""thunder resistance/damage"", but no thunder weapons. You assume it means lighting, but then there's separate ""electro resist/damage"" and electro weapons. Then the 7 day challenge tasks you with ""reset 1 piece of gear"", but no explanation on the effects it'll have. Not even google/reddit had answers for me.",30-05-2024 10:23,5,c93bc98a-57f5-47ac-a61b-e95570993d1d,FALSE,FALSE
Chris bobert (Cupcake),"Great theory, horrible execution. The game devs are greedy and want you to pay heavily to progress. You don't get enough food to play for more than a half hour a day and you can not clear levels consistently unless you pay money. It's like playing craps with zombies. One run you get the perfect cards next run on the same level you get decimated, doesn't make for a fun experience especially when you get limited amounts of tries per day without paying more money.",21-05-2024 00:45,1,49b17ffe-8d50-4ebf-b6ff-1b2d66665cfa,FALSE,FALSE
Jinx_MafiaMx Official,"reward system is awful. stage 1 and stage 8 have very similar rewards, not much of a difference. been playing for about a week and stuck on stage 8. lvl 25. very repetitive. doing the same level over and over until I can get enough xp or recorces to continue on to the next stage...",26-05-2024 04:42,3,a72bbc18-5e00-4be2-b063-8ce310501d88,FALSE,FALSE
Trey “T.F.N Entertainment” Edwards,If you are into skill based games this will not be for you its all luck of the draw can't aim or activate skills on your own the computer aims at enemies that are not a threat and getting perfect clears would be more acceptable if you could control even the gunner had situation where i made it to thee end almost perfect but the aim will start shooting down field while zombies attack with no way to redirect aim,17-06-2024 10:08,1,90b101a3-05e1-4c91-85bf-ca56fb5f4f8b,FALSE,FALSE
Everett Gilbert,"Really enjoying the game, but the timer on Stamina needs to be lowered. I went like 8 hours once without playing, and still wasn't full. Id like to switch servers without restarting, so I can be in a clan with my friends. More things to do with friends would be nice. Other than that, I really like the game. Stop hiding no ads behind a monthly subscription, and get rid of the multiple battle pass, if you purchase monthly card, Battle passes should be free. Remove the pix in google, not in game.",05-07-2024 23:50,5,cf559ce0-9374-42ba-abd2-bf8cb927ba06,FALSE,FALSE
Zack Bickham,The game is so basic you can't do any real aiming it's the same as any other dungeon shooter but you can't run to our move the enemy 😐 the game is a shameful remake of some games with better control. I only played 4 games maybe in if you play now you can get skills or something but what I played was a total disappointment,06-06-2024 20:15,1,2ff05627-4f86-47d7-b582-dbd8a964d764,FALSE,FALSE
Stephen D,*** can we get rid of the congratulatory announcement banner. It gets in the way.*** Great game no forced ads like other greedy devs out there. The rewards are ok. I think the armor needs to have merge capabilities as well. I now have a bunch of armor that I can only decompose (deconstruct) but better if we had both merge and deconstruct with gems as well. overall gameplay is great. Sometimes RNG is brutal. Awesome job fellas.,29-06-2024 01:54,5,c1139b26-f672-4afa-afdd-a50b4ec3dfc7,FALSE,FALSE
kelvin lee,"As I'm a person who started playing for free it is imo pretty addicting to see your guns/skills kill zombies and the little events and missions to do are fun. It's by no means a game for adventures it's a idle game with abilities for you to unlock. Most of the stuff is completely free, you could get absolutely lucky for chest drops from the diamonds you earn in mission for perfect clear. You could do that until a certain point then you might need to spend a little. Just like every other game",14-01-2025 08:39,4,e3f8d4ce-79d6-4bdd-8238-bd033296ab8c,FALSE,FALSE
J L,Ever since the update there has been moments where I can't play an ad at all cause none are available no matter how many times I clear my cache. even deleted and downloaded it again. I can play one to three ads before it stops letting me. The game is rather fun but wish you could get more diamonds without paying so you can enjoy the events going on.,17-11-2024 10:03,4,97f41742-c3d6-4974-b37f-8381bc38d1b0,FALSE,TRUE
ThermalRain_YT,The skills in this game are so bad at targeting. The tornado doesn't hit large groups at all. The beam goes after the enemy on the very edge almost every time which totally ruins the game.,28-12-2024 17:03,1,4a6e867c-acff-43ce-9627-3a0fe8081e3d,FALSE,FALSE
Zachary Davenport,It's not the worst game but the auto aim for the game is just bad and way to much rng in the game to be fun. I can see my laser go through 1 enemy instead of just shooting straight in which it would hit about 20 it chooses 1 over 20 so many things the game does to make it impossible to win,09-12-2024 22:25,2,f4b57e75-81c8-476f-b093-7c29c9859515,FALSE,FALSE
Nicklas Hansen,"Your character is tied to a server. If that server is full, you cannot play with your character, and are forced to make a new character on a new server and start from scratch if you want to play the game. Servers are near constantly full. One of the worst design choices for a game ever.",10-11-2024 01:45,1,b7f89a74-3e1d-4de1-a782-e949f66e1734,FALSE,FALSE
Swee Han Yap,"Eventually you will get stucked at certain stage and you will need to dump in $$$ to clear the stuckage. Events will rip you at maximum $$$ for minimum rewards. Every server, players quit the game at an alarming pace then they will merge the servers very quickly leaving only the top reloaders pitting against one another for meaningless pvp events. Not recommended.",03-12-2024 01:03,1,f362cbb1-36c9-4b7c-929a-fd5d3a5a22fa,FALSE,FALSE
emil,"very bad, can't log in to the account i had, contacted customer support, was told to try different networks, and ofc it didn't change anything I was told to buy vpn to try from a different country, laughable and unacceptable that the customer support is that bad.",18-11-2024 13:16,1,77455e1a-13b1-49e8-9767-09ce0018b3c8,TRUE,FALSE
Pedro,"The game is addictive, until you hit the wall in lvl 12 or so. In order to progress you will have to spend $, and the in-game purchases are overpriced. Gets boring if you don't want to expend $, cause you have to replay older levels in order to get a little bit of progress. It's a pay to progress game. Edit: Had to lower the stars, it's frustrating that you upgrade just to notice that it does nothing. You get stuck on a lvl and take a long time to be able to progress, just to get stuck again.",26-08-2024 07:22,1,903e96ca-c88f-4055-bfc8-bcf68b0332e6,FALSE,TRUE
Andreas,The game is good but becomes too grindy way too fast. Even money which you need for a lot of stuff is hard to obtain. Another problem is stages don't offer much rewards for the difficulty they have and some are unnecessary difficult (rigged I'd say to lose) you could perfect clear the previous and next stage is so hard that you can't clear at all. Another minor issue is for a lot of stuff you have to find another player to help and you can't actually search for guild unless you have an invite .,25-08-2024 20:31,3,3c1f9160-8288-493d-bf6e-62ef4289d53e,TRUE,FALSE
Jay Chong,"Took me a month to save up 3K diamonds and ended up spending everything on an event all to get a useless claw fort that picks up mobs and just randomly put them back on field. Alot of char, guns and merc are locked be paying. Way too grindy and pay to win. Stuck on stage 30 for 1 week now and couldn't progress. In order to pass the stage, each skill up must has be a perfect roll and also in the correct sequence. To much variables for one single stage. I will not be back until they fix the game",23-09-2024 21:25,1,4b3cb0c2-1dc2-4628-93bf-2588e0168916,TRUE,FALSE
Justin Bennett,"With the latest update to the game, for some reason it's pasting from my clipboard when first loading up. Does not happen every time, but I have noticed it more than once. Why??",17-01-2025 18:49,3,724cd11d-4328-4326-ad92-5969c134a738,FALSE,FALSE
Stephensee Teefan,"Don't spend any money in this game. Especially you reach stage 60! U can get the good combo, when u get fire extra u won't get explore or others combo. You must spend money otherwise you cant pass the stage. Cheat! They already set inside the system! I am going to uninstall this game",27-11-2024 13:03,1,2536221d-3b39-4aec-a394-137d1068dccf,FALSE,FALSE
Farnood Shabafroozan,"At first it's a funny & addictive game but nearly at lvl 18 & higher it's a pay to win game. Bonuses, passives, gears are too rare to get so the game designed to motivate its users to pay money for proper achievements which is unfair. Personally I stopped playing that much that I used to. The upgrades for gears especially the gun isn't reasonable & senseless. If it goes this way I'm sure many players will abandon the game & that would be a great shame.",31-08-2024 23:18,3,c688b99a-dde4-4c42-9761-f8cd128eda95,FALSE,TRUE
Carlo Lupo,"This game is pure pay to win. Everything you need to advance is out of reach. Events aren't long enough to get anything useful. Also, many events require real currency. Gold shovel event forces you to spend diamonds or real dollars. Gun upgrades, Skin upgrades, drone upgrades, etc... requires you to spend. Otherwise you just are grinding for weeks just to pass the next stage.",31-08-2024 01:50,1,2a8df3e3-7f0d-460f-8369-dd3b8304bbf8,FALSE,TRUE
Jin Takahashi Tensai,"The game is pretty solid for the most part, but you all need to do way better in regards to being more giving to your f2p base, they really have nothing to work towards and everything is focused on those who have money to freely spend. There needs to be events for f2p as well so they can have something to work towards, new outfits, guns, things of that nature. Also, please grant us a version that is completely offline, with laxed methods on getting resources, thank you for reading!",14-08-2024 01:35,4,6b5a3c57-1fc1-4ba6-9d4e-e6fd630866a8,FALSE,FALSE
Shawn King,"was a decent game until i came across a game breaking bug. was playing ruined park on expert, game gave me a skill past lvl 20 but no pictures or options. everytime i try to load back in, it doesnt the same thing. i dont think its fair for me to restart the whole mission because of it.",18-09-2024 18:32,2,3d701165-caa6-4753-8dfe-01cf6d253a5e,TRUE,FALSE
J S Yii,"Game is fun early on until it become PAY to progress later on. Event is all gem sinker u literally have to pray to the gacha god. Dev don't intend to make this game fun for the player. If u get no core or skin, u can kiss ur account goodbye. Grinding is omega tedious and lvl up reward is abysmal. There is no incentive for progression. U can't farm gem as it limited to progression. 1 day u only get like 50 gem from daily mission. For ppl who is looking for a fun game, stay away from this game.",04-12-2024 17:09,2,f61343b1-d29b-4116-a398-18b87af6bd5b,FALSE,FALSE
Brad HP,"It's fun for a short time, then the difficulty takes a huge jump around level 10 where you'll be grinding the same level for days before you can improve your character enough to get past it. That is, unless you spend a ton of real money.",23-09-2024 15:32,3,3260af40-501d-40f1-9b07-38694ed854c9,FALSE,TRUE
Lazio,"Pretty rough money grab. A copy of a copy with retextures. Edit: I will amend my comment but not rating. After several months and hundreds of dollars I've determined the creators didn't expect this game to do so well. So, updates from this company that doesn't care about the longevity or quality of this game are coming, but only as long as it's profitable. In my mind, the money spent here was worth it just to see for myself how this kind of operation is successful. It's all such a waste though.",06-10-2024 08:48,2,57f7acbb-8399-473f-8b9c-63749a8ad997,FALSE,FALSE
Rex Everything,"*** Thank you for fixing my complaint. Now my screen is locking all weapons and Vanguard skills in multiplayer after level 10. I can't acquire new weapons or aim, however, I can still send messages. I have spent many $ hundreds with you, and to have my abilities cut off half way through, it's costing me games, and it sucks. This game is the only game on which I have spent more than $5, ever, and I'm 52. For this, money is not a prerequisite, but you'll have to grind, just like everything else.",09-09-2024 23:52,5,63705f59-cfe2-4b80-909f-c3e934414a7e,TRUE,FALSE
Trampas Callaway,"Once you get to level 30 your gum won't do any damage and also they don't reward you with a way to upgrade your gun, they have events and if you don't spend at least 100$ or more you won't get a single upgrade. It's a fun game until around lvl 30.",02-09-2024 01:40,1,e89bd8dd-50b7-44df-8524-f440e2dcaa7b,FALSE,TRUE
Shawn McCool,"Been playing for close to 4 months now. Not too bad. You can grind most things, but if you do pay, you're going to pay a LOT. The recent updates have left the game buggy. Have tried to contact customer service, but have just been ignored.",21-08-2024 12:33,1,66318143-2af5-42a0-acfb-180da06c3674,TRUE,FALSE
Barry Shiver,Beware people if you wanna have fun casual game THIS IS NOT IT. they want to much money. Stuck on levels for weeks on end. Pay for monthly cards that give you 100 quick raids per day but still get no better. Cmon people I have given you plenty of money on two months of playing. Do better. Unclutter this mess and make fun and playable. Uninstalling until these money grabbers make it less cluttered and more fun.,04-09-2024 14:17,1,f77fb49e-c0e8-4d9c-bdcd-f18d8885cf11,FALSE,FALSE
